Warehouse7,Warehouse3,Warehouse2,Warehouse1,Warehouse5,Warehouse4,Warehouse8,Warehouse6
RI,RI,MN,MO,FL,CO,UT,ID
MD,MD,IN,TN ,CT,AR,ID,MT
MI,MI,DE,IN,SC,MS,CA,OR
IN,IL,MD,OK,LA,LA,AZ,UT
CT,CT,OH,SC,OH,TX,CO,WA
DE,DE,GA,GA,GA,OK,NV,
KY,IN,TN ,KS,MD,IL,WY,
MA,MA,NY,WV,TN ,SC,,
ME,ME,IA,PA,IN,AL,,
NC,NC,MI,IA,DE,NM,,
NH,NH,PA,OH,MI,KS,,
NJ,NJ,IL,NC,PA,MO,,
NY,NY,KY,VA,IL,TN,,
OH,OH,WV,IL,KY,,,
PA,PA,MO,KY,WV,,,
SC,SC,NJ,NE,MS,,,
TN ,KY,WI,MN,NC,,,
VA,VA,,MI,NJ,,,
VT,VT,,WI,VA,,,
WV,WV,,AL,AL,,,
,TN ,,LA,,,,
,WI,,MS,,,,
,MN,,,,,,
,IA,,,,,,
,AL,,,,,,
,,,,,,,
,,,,,,,
